id,name,unit,grade
ท33101,ภาษาไทย,1.0,3.5
ส33101,สังคมศึกษา,1.0,3.0
ส33102,ประวัติศาสตร์ไทย,0.5,2.5
พ33103,สุขศึกษาและพลศึกษา,0.5,4.0
ศ33101,ศิลปะ,0.5,4.0
อ33101,ภาษาอังกฤษ,1.0,3.5
ค33201,เสริมทักษะคณิตศาสตร์,1.0,3.5
ค33203,เสริมทักษะคณิตวิทย์,1.5,4.0
ว30291,โครงงานวิทยาศาสตร์,1.0,2.0
ว33201,ฟิสิกส์,2.0,4.0
ว33221,เคมี,1.5,4.0
ว33241,ชีววิทยา,1.5,3.5
ศ30206,จิตรกรรม,1.0,4.0
อ33203,ภาษาอังกฤษเพื่อการศึกษาต่อ,1.0,4.0
I30204,การสื่อสารและการนําเสนอด้วย,0.5,4.0
ท31101,ภาษาไทย,1.0,3.0
ค31101,คณิตศาสตร์,1.5,4.0
ว30101,วิทยาศาสตร์,1.5,3.5
ว30105,วิทยาศาสตร์,0.5,4.0
ว31161,เทคโนโลยี,1.0,4.0
ส31101,สังคมศึกษา,1.0,4.0
พ31103,สุขศึกษาและพลศึกษา,0.5,4.0
ศ31101,ศิลปะ,0.5,4.0
อ31101,ภาษาอังกฤษ,1.0,2.5
ค31201,เสริมทักษะคณิตวิทย์,1.5,4.0
ว30279,คอมพิวเตอร์กราฟิก,1.0,4.0
ว31211,ฟิสิกส์,1.0,3.5
ว31221,เคมี,1.0,4.0
ว31241,ชีววิทยา,1.0,3.5
อ30201,การเขียนเชิงวิชาการ,1.0,3.5
I30201,การศึกษาค้นคว้าและสร้างองค์ความ,0.5,4.0
ท31102,ภาษาไทย,1.0,3.5
ค31102,คณิตศาสตร์,1.5,4.0
ว30102,วิทยาศาสตร์,1.0,2.5
ว30106,วิทยาศาสตร์,0.5,3.5
ส31102,สังคมศึกษา,1.0,4.0
พ31104,สุขศึกษาและพลศึกษา,0.5,4.0
ศ31102,ศิลปะ,0.5,4.0
ง31101,การงานอาชีพ,1.0,3.5
อ31102,ภาษาอังกฤษ,1.0,4.0
ค31206,เสริมทักษะคณิตวิทย์,1.5,3.5
ว30280,กราฟิกแอนิเมชั่น,1.0,4.0
ว31212,ฟิสิกส์,1.0,3.0
ว31222,เคมี,1.5,4.0
ว31242,ชีววิทยา,1.0,3.0
อ30202,การเขียนเชิงวิชาการ,1.0,3.5
I30202,การศึกษาค้นคว้าและสร้างองค์ความ,0.5,4.0
ท32101,ภาษาไทย,1.0,4.0
ค32101,คณิตศาสตร์,1.5,4.0
ว30103,วิทยาศาสตร์,1.5,4.0
ส32101,สังคมศึกษา,1.0,4.0
ส32102,ประวัติศาสตร์ไทย,0.5,3.0
พ32103,สุขศึกษาและพลศึกษา,0.5,4.0
ศ32102,ศิลปะ,0.5,4.0
ง32101,การงานอาชีพ,1.0,4.0
อ32101,ภาษาอังกฤษ,1.0,3.5
ค30211,คณิตศาสตร์สําหรับ,1.0,4.0
ค32201,เสริมทักษะคณิตวิทย์,1.5,3.5
ว32201,ฟิสิกส์,1.5,2.5
ว32221,เคมี,1.0,4.0
ว32241,ชีววิทยา,1.0,3.0
อ32211,ภาษาอังกฤษสําหรับมหาวิทยาลัย,1.0,3.5
ท32102,ภาษาไทย,1.0,4.0
ค32102,คณิตศาสตร์,1.5,4.0
ว30104,วิทยาศาสตร์,1.0,4.0
ส32103,สังคมศึกษา,1.0,4.0
ส32104,ประวัติศาสตร์ไทย,0.5,4.0
พ32104,สุขศึกษาและพลศึกษา,0.5,4.0
ศ32101,ศิลปะ,0.5,4.0
อ32102,ภาษาอังกฤษ,1.0,4.0
ค30212,คณิตศาสตร์สําหรับ,1.0,4.0
ค32206,เสริมทักษะคณิตวิทย์,1.5,4.0
ว30261,การออกแบบและเทคโนโลยี,1.0,4.0
ว32202,ฟิสิกส์,1.5,2.5
ว32222,เคมี,1.0,4.0
ว32242,ชีววิทยา,1.5,3.0
อ32212,ภาษาอังกฤษสําหรับมหาวิทยาลัย,1.0,3.0
